控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,5,0.5294117647058824,2,15,17
view_0702af1b9b25fd7f1de5a51d009bf36c.png,16,0.21568627450980393,0,26,86
view_83a89454cfb3eaad6b69218a01725efe.png,16,0.5686274509803921,4,26,86
view_03873cb330123484b28437172d028393.png,16,0.7058823529411765,10,26,86
view_040d498befe8a982688743bb8a15e2e4.png,19,0.7843137254901961,18,45,91
view_40d146529e883647970c8e6ad7828aee.png,19,0.8823529411764706,30,45,91
view_1b7713bc6b808e56e533c6512cba249f.png,22,0.1568627450980392,0,32,114
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,22,0.8823529411764706,30,32,114
view_bed672cef70c91b21e0092a3bbffb37b.png,23,0.0196078431372549,0,20,130
view_a5af5ebb87c06b9e8f612da9c70128a0.png,29,0.7450980392156863,4,9,229
view_453a65384090d62e4aa9582ec6ec5b69.png,40,0.6470588235294118,2,6,444
view_b189627e1375d433fe899275dffd499e.png,48,0.19607843137254902,0,6,597
view_69d0f1bb75ac90746cb81b7943ad209e.png,48,0.6666666666666666,3,6,597
view_7cbf91c5b6613436461d57f32909d0e9.png,50,0.8235294117647058,8,28,615
view_388d4340422c2e5da6110b736456d4b7.png,50,0.9019607843137255,20,28,615
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,50,0.9411764705882353,24,28,615
view_52aab8a65f4106aa0022d30a17056599.png,51,0.7058823529411765,2,4,642
view_4d03888ec5acebf863fb8debe4535ffb.png,59,0.6666666666666666,6,12,867
view_56c274f21b5a47c36d6491eeec801b77.png,73,0.7058823529411765,0,3,1066
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,76,0.6666666666666666,3,5,1106
view_036db19dd3ca2bfe15721c3150990f86.png,103,0.7450980392156863,2,4,1728
view_8f31eb7e5a23c5234243c915c5f14acf.png,116,0.5686274509803921,1,5,2027
view_a4264a050fbc1523de3338d64580ba79.png,119,0.9019607843137255,6,9,2238
view_6036d6a923e2fc4b26cb85b4324b61fd.png,125,0.7450980392156863,1,4,2460
view_e483dd3105d6f69d4ca07dd704591063.png,128,0.7058823529411765,0,3,2483
view_ba27a1df2a40cc2f63697dfc71f86c79.png,140,0.6274509803921569,3,7,2985
