控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,5,0.41379310344827586,3,15,17
view_0702af1b9b25fd7f1de5a51d009bf36c.png,16,0.20689655172413793,0,26,86
view_03873cb330123484b28437172d028393.png,16,0.3793103448275862,1,26,86
view_83a89454cfb3eaad6b69218a01725efe.png,16,0.6206896551724138,18,26,86
view_040d498befe8a982688743bb8a15e2e4.png,19,0.5517241379310345,17,45,91
view_40d146529e883647970c8e6ad7828aee.png,19,0.6551724137931034,28,45,91
view_1b7713bc6b808e56e533c6512cba249f.png,22,0.3793103448275862,1,32,114
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,22,0.5862068965517241,12,32,114
view_bed672cef70c91b21e0092a3bbffb37b.png,23,0.3448275862068966,0,20,130
view_a5af5ebb87c06b9e8f612da9c70128a0.png,29,0.3103448275862069,0,9,229
view_453a65384090d62e4aa9582ec6ec5b69.png,40,0.5862068965517241,5,6,444
view_69d0f1bb75ac90746cb81b7943ad209e.png,48,0.3793103448275862,0,6,597
view_b189627e1375d433fe899275dffd499e.png,48,0.5517241379310345,1,6,597
view_7cbf91c5b6613436461d57f32909d0e9.png,50,0.5172413793103449,9,28,615
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,50,0.6551724137931034,15,28,615
view_388d4340422c2e5da6110b736456d4b7.png,50,0.6551724137931034,19,28,615
view_52aab8a65f4106aa0022d30a17056599.png,51,0.5862068965517241,0,4,642
view_4d03888ec5acebf863fb8debe4535ffb.png,59,0.6206896551724138,10,12,867
view_56c274f21b5a47c36d6491eeec801b77.png,73,0.7241379310344828,0,3,1066
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,76,0.6206896551724138,1,5,1106
view_036db19dd3ca2bfe15721c3150990f86.png,103,0.7241379310344828,3,4,1728
view_8f31eb7e5a23c5234243c915c5f14acf.png,116,0.5172413793103449,0,5,2027
view_a4264a050fbc1523de3338d64580ba79.png,119,0.5862068965517241,4,9,2238
view_6036d6a923e2fc4b26cb85b4324b61fd.png,125,0.6896551724137931,1,4,2460
view_e483dd3105d6f69d4ca07dd704591063.png,128,0.7931034482758621,0,3,2483
view_ba27a1df2a40cc2f63697dfc71f86c79.png,140,0.5517241379310345,2,7,2985
