控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,6,0.5300546448087432,9,15,103
view_83a89454cfb3eaad6b69218a01725efe.png,22,0.16939890710382513,3,26,5
view_03873cb330123484b28437172d028393.png,22,0.1912568306010929,16,26,5
view_0702af1b9b25fd7f1de5a51d009bf36c.png,22,0.7759562841530054,25,26,5
view_40d146529e883647970c8e6ad7828aee.png,25,0.5300546448087432,20,42,357
view_040d498befe8a982688743bb8a15e2e4.png,25,0.6721311475409836,30,42,357
view_6699c5c7b85728194b0e746ce23b8fe9.png,30,0.3224043715846995,2,3,91
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,32,0.2459016393442623,26,30,605
view_1b7713bc6b808e56e533c6512cba249f.png,32,0.36065573770491804,28,30,605
view_bed672cef70c91b21e0092a3bbffb37b.png,37,0.4808743169398907,13,14,123
view_a5af5ebb87c06b9e8f612da9c70128a0.png,50,0.9398907103825137,9,10,601
view_c545dfece6f46c4594b005bd68055924.png,54,0.5245901639344263,4,5,234
view_b189627e1375d433fe899275dffd499e.png,56,0.546448087431694,8,11,236
view_69d0f1bb75ac90746cb81b7943ad209e.png,56,0.7049180327868853,10,11,236
view_a3bd5f6a4b49068832ef89711954db0e.png,78,0.20218579234972678,4,6,293
view_453a65384090d62e4aa9582ec6ec5b69.png,88,0.1912568306010929,3,6,155
view_95f67622e5147705d104f32148611b5b.png,94,0.453551912568306,3,6,257
view_7d4f42222b3a2e60272f7dbe81828f8f.png,97,0.8306010928961749,6,7,87
view_ca8c093974517c20c9f70b9dd0064138.png,105,0.16393442622950818,0,5,66
view_48f72e7fb6e500559fd750d5456ef584.png,105,0.5136612021857924,4,5,66
view_e483dd3105d6f69d4ca07dd704591063.png,106,0.4098360655737705,3,6,59
view_a32f613e211adbcddeaabd1d5cd7e261.png,109,0.12568306010928962,3,15,38
view_cb998351b18907c11d8dbd43fff35ea5.png,109,0.3224043715846995,7,15,38
view_388d4340422c2e5da6110b736456d4b7.png,111,0.16393442622950818,7,27,600
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,111,0.17486338797814208,11,27,600
view_7cbf91c5b6613436461d57f32909d0e9.png,111,0.2786885245901639,22,27,600
view_52aab8a65f4106aa0022d30a17056599.png,116,0.18579234972677597,3,4,58
view_4d03888ec5acebf863fb8debe4535ffb.png,153,0.18032786885245902,0,12,151
view_56c274f21b5a47c36d6491eeec801b77.png,180,0.2896174863387978,2,4,175
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,192,0.5409836065573771,2,3,65
view_9099969ab4a16a477182d4d0a355d0bc.png,216,0.11475409836065574,0,3,42
view_8fea87349e5bc20d45bce60c7e81d7b8.png,221,0.19672131147540983,0,3,269
view_4444f0930e2b4efa977efcdbf5337d20.png,231,0.17486338797814208,2,9,317
view_7721915c5adce47fc5fb59f6d39733c0.png,239,0.16939890710382513,2,8,40
view_036db19dd3ca2bfe15721c3150990f86.png,253,0.4371584699453552,3,5,53
view_b4c4b445f9430b3128f4aa72894244a2.png,262,0.14207650273224043,0,4,474
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,267,0.11475409836065574,0,4,28
view_8f31eb7e5a23c5234243c915c5f14acf.png,278,0.3551912568306011,5,7,6
view_a4264a050fbc1523de3338d64580ba79.png,296,0.18032786885245902,1,9,90
view_2fecd352e53d0f934542a5bfa095083a.png,309,0.4644808743169399,1,3,617
view_6036d6a923e2fc4b26cb85b4324b61fd.png,314,0.17486338797814208,2,4,172
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,324,0.17486338797814208,0,3,11
view_ba27a1df2a40cc2f63697dfc71f86c79.png,334,0.18579234972677597,0,7,100
view_33a7a439057d102525c55da9fe1b0ace.png,356,0.17486338797814208,2,6,454
view_b888f5f094161ecc9f125735c6d13b0d.png,357,0.11475409836065574,0,3,458
view_a191fdabea2ce5f6881da31a011655f8.png,366,0.06557377049180328,0,5,161
