控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,6,False,5,13,False,False,False,11
view_0702af1b9b25fd7f1de5a51d009bf36c.png,18,True,0,26,True,True,True,28
view_03873cb330123484b28437172d028393.png,18,False,8,26,False,False,False,28
view_83a89454cfb3eaad6b69218a01725efe.png,18,False,23,26,False,False,False,28
view_040d498befe8a982688743bb8a15e2e4.png,20,False,16,42,False,False,False,1
view_40d146529e883647970c8e6ad7828aee.png,20,False,18,42,False,False,False,1
view_1b7713bc6b808e56e533c6512cba249f.png,25,True,1,30,True,True,True,76
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,25,True,2,30,True,True,True,76
view_bed672cef70c91b21e0092a3bbffb37b.png,27,True,0,14,True,True,True,29
view_a5af5ebb87c06b9e8f612da9c70128a0.png,36,True,0,9,True,True,True,112
view_56c274f21b5a47c36d6491eeec801b77.png,39,True,0,7,True,True,True,30
view_a3bd5f6a4b49068832ef89711954db0e.png,55,False,4,5,False,False,False,328
view_036db19dd3ca2bfe15721c3150990f86.png,60,True,0,6,True,True,True,141
view_453a65384090d62e4aa9582ec6ec5b69.png,61,True,2,6,True,False,False,87
view_48f72e7fb6e500559fd750d5456ef584.png,72,False,1,4,False,False,False,154
view_ca8c093974517c20c9f70b9dd0064138.png,72,False,2,4,False,False,False,154
view_e483dd3105d6f69d4ca07dd704591063.png,73,False,4,6,False,False,False,146
view_c545dfece6f46c4594b005bd68055924.png,75,True,0,12,True,True,True,232
view_69d0f1bb75ac90746cb81b7943ad209e.png,75,True,4,12,True,False,True,232
view_b189627e1375d433fe899275dffd499e.png,75,False,7,12,False,False,False,232
view_a32f613e211adbcddeaabd1d5cd7e261.png,76,False,8,10,False,False,False,139
view_7cbf91c5b6613436461d57f32909d0e9.png,78,True,3,29,True,True,True,164
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,78,False,13,29,False,False,False,164
view_388d4340422c2e5da6110b736456d4b7.png,78,False,28,29,False,False,False,164
view_52aab8a65f4106aa0022d30a17056599.png,80,False,1,4,False,False,False,144
view_4d03888ec5acebf863fb8debe4535ffb.png,99,False,10,12,False,False,False,59
view_9099969ab4a16a477182d4d0a355d0bc.png,134,True,0,3,True,True,False,137
view_c6ff152fa1f117da252ea351460521be.png,145,True,0,5,True,True,True,289
view_a4264a050fbc1523de3338d64580ba79.png,160,False,6,10,False,False,False,152
view_a25f6186706916f9d65f5bb47b4986f9.png,167,True,0,6,True,True,True,171
view_cb998351b18907c11d8dbd43fff35ea5.png,173,True,0,6,True,True,True,129
view_8f31eb7e5a23c5234243c915c5f14acf.png,182,True,0,5,True,True,False,107
view_2fecd352e53d0f934542a5bfa095083a.png,194,False,2,3,False,False,False,163
view_6036d6a923e2fc4b26cb85b4324b61fd.png,198,False,2,4,False,False,False,5
view_ba27a1df2a40cc2f63697dfc71f86c79.png,216,False,3,7,False,False,False,214
view_b888f5f094161ecc9f125735c6d13b0d.png,231,True,0,3,True,True,False,470
view_a191fdabea2ce5f6881da31a011655f8.png,235,True,0,5,True,True,True,283
