控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,5,True,3,13,True,False,True,17
view_0702af1b9b25fd7f1de5a51d009bf36c.png,15,True,0,26,True,True,True,87
view_03873cb330123484b28437172d028393.png,15,True,1,26,True,True,True,87
view_83a89454cfb3eaad6b69218a01725efe.png,15,False,21,26,False,False,False,87
view_040d498befe8a982688743bb8a15e2e4.png,17,False,16,38,False,False,False,92
view_40d146529e883647970c8e6ad7828aee.png,17,False,17,38,False,False,False,92
view_1b7713bc6b808e56e533c6512cba249f.png,20,True,1,30,True,True,True,115
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,20,True,2,30,True,True,True,115
view_bed672cef70c91b21e0092a3bbffb37b.png,21,True,0,14,True,True,True,131
view_a5af5ebb87c06b9e8f612da9c70128a0.png,27,True,0,9,True,True,True,230
view_453a65384090d62e4aa9582ec6ec5b69.png,38,False,4,6,False,False,False,446
view_69d0f1bb75ac90746cb81b7943ad209e.png,46,True,0,6,True,True,True,602
view_b189627e1375d433fe899275dffd499e.png,46,True,1,6,True,False,False,602
view_7cbf91c5b6613436461d57f32909d0e9.png,48,True,3,27,True,True,True,620
view_388d4340422c2e5da6110b736456d4b7.png,48,False,17,27,False,False,False,620
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,48,False,19,27,False,False,False,620
view_52aab8a65f4106aa0022d30a17056599.png,49,False,1,4,False,False,False,647
view_4d03888ec5acebf863fb8debe4535ffb.png,58,False,8,12,False,False,False,879
view_56c274f21b5a47c36d6491eeec801b77.png,71,True,0,3,True,True,False,1081
view_036db19dd3ca2bfe15721c3150990f86.png,100,False,1,4,False,False,False,1759
view_8f31eb7e5a23c5234243c915c5f14acf.png,114,False,3,5,False,False,False,2063
view_a4264a050fbc1523de3338d64580ba79.png,117,False,6,9,False,False,False,2275
view_6036d6a923e2fc4b26cb85b4324b61fd.png,124,False,1,4,False,False,False,2506
view_e483dd3105d6f69d4ca07dd704591063.png,127,False,2,3,False,False,False,2529
view_ba27a1df2a40cc2f63697dfc71f86c79.png,138,False,5,7,False,False,False,3036
