控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,6,0.5333333333333333,6,17,2
view_0702af1b9b25fd7f1de5a51d009bf36c.png,20,0.16666666666666666,0,26,21
view_03873cb330123484b28437172d028393.png,20,0.5333333333333333,5,26,21
view_83a89454cfb3eaad6b69218a01725efe.png,20,0.7333333333333333,25,26,21
view_036db19dd3ca2bfe15721c3150990f86.png,23,0.43333333333333335,5,32,86
view_52aab8a65f4106aa0022d30a17056599.png,23,0.5,7,32,86
view_1b7713bc6b808e56e533c6512cba249f.png,25,0.2,1,40,65
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,25,0.5666666666666667,9,40,65
view_bed672cef70c91b21e0092a3bbffb37b.png,28,0.36666666666666664,0,16,23
view_6699c5c7b85728194b0e746ce23b8fe9.png,28,0.4,1,16,23
view_ac28492f1787a95585bf168676e5e07e.png,30,0.43333333333333335,1,8,80
view_cb998351b18907c11d8dbd43fff35ea5.png,30,0.5,2,8,80
view_56c274f21b5a47c36d6491eeec801b77.png,39,0.4,1,10,32
view_a5af5ebb87c06b9e8f612da9c70128a0.png,41,0.16666666666666666,0,11,137
view_c545dfece6f46c4594b005bd68055924.png,45,0.4,1,13,196
view_69d0f1bb75ac90746cb81b7943ad209e.png,45,0.5,4,13,196
view_b189627e1375d433fe899275dffd499e.png,45,0.5666666666666667,6,13,196
view_9099969ab4a16a477182d4d0a355d0bc.png,51,0.4666666666666667,5,14,82
view_a3bd5f6a4b49068832ef89711954db0e.png,59,0.6333333333333333,3,5,294
view_453a65384090d62e4aa9582ec6ec5b69.png,67,0.4666666666666667,0,6,107
view_48f72e7fb6e500559fd750d5456ef584.png,73,0.6333333333333333,2,5,94
view_ca8c093974517c20c9f70b9dd0064138.png,73,0.6333333333333333,3,5,94
view_e483dd3105d6f69d4ca07dd704591063.png,83,0.5666666666666667,3,6,90
view_7cbf91c5b6613436461d57f32909d0e9.png,86,0.4,3,29,116
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,86,0.7,21,29,116
view_388d4340422c2e5da6110b736456d4b7.png,86,0.7333333333333333,28,29,116
view_a4264a050fbc1523de3338d64580ba79.png,90,0.6333333333333333,5,10,92
view_4d03888ec5acebf863fb8debe4535ffb.png,106,0.5666666666666667,7,13,75
view_ba27a1df2a40cc2f63697dfc71f86c79.png,125,0.4666666666666667,1,10,215
view_7721915c5adce47fc5fb59f6d39733c0.png,140,0.7666666666666667,3,4,84
view_c6ff152fa1f117da252ea351460521be.png,152,0.43333333333333335,0,5,305
view_a25f6186706916f9d65f5bb47b4986f9.png,170,0.36666666666666664,0,6,169
view_8f31eb7e5a23c5234243c915c5f14acf.png,188,0.5333333333333333,0,5,132
view_2fecd352e53d0f934542a5bfa095083a.png,198,0.9,2,3,164
view_6036d6a923e2fc4b26cb85b4324b61fd.png,202,0.6333333333333333,2,5,27
view_33a7a439057d102525c55da9fe1b0ace.png,232,0.7333333333333333,2,4,271
view_a191fdabea2ce5f6881da31a011655f8.png,237,0.5333333333333333,1,5,300
