控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,21,False,3,4,False,False,False,372
view_c6ff152fa1f117da252ea351460521be.png,23,True,0,7,True,True,True,333
view_0702af1b9b25fd7f1de5a51d009bf36c.png,27,True,0,22,True,True,True,5
view_83a89454cfb3eaad6b69218a01725efe.png,27,False,18,22,False,False,False,5
view_bed672cef70c91b21e0092a3bbffb37b.png,37,True,0,11,True,True,True,336
view_cb998351b18907c11d8dbd43fff35ea5.png,39,True,2,6,True,False,False,374
view_56c274f21b5a47c36d6491eeec801b77.png,50,True,0,5,True,True,False,419
view_7721915c5adce47fc5fb59f6d39733c0.png,58,True,3,9,False,False,True,264
view_a3bd5f6a4b49068832ef89711954db0e.png,63,False,2,5,False,False,False,301
view_95f67622e5147705d104f32148611b5b.png,79,True,0,7,True,True,True,258
view_ca8c093974517c20c9f70b9dd0064138.png,80,False,1,3,False,False,False,316
view_388d4340422c2e5da6110b736456d4b7.png,94,False,3,5,False,False,False,365
view_7cbf91c5b6613436461d57f32909d0e9.png,95,True,2,13,True,False,True,514
view_52aab8a65f4106aa0022d30a17056599.png,99,False,6,11,False,False,False,103
view_6699c5c7b85728194b0e746ce23b8fe9.png,120,False,1,5,False,False,False,274
view_4d03888ec5acebf863fb8debe4535ffb.png,137,False,6,7,False,False,False,392
view_10c848e6af2d7371e7c8063e46ff610c.png,146,True,0,3,True,True,False,370
view_453a65384090d62e4aa9582ec6ec5b69.png,185,True,0,3,True,True,False,288
view_ba27a1df2a40cc2f63697dfc71f86c79.png,188,True,4,14,True,False,False,253
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,195,True,2,7,True,False,False,92
view_c545dfece6f46c4594b005bd68055924.png,205,True,0,5,True,True,False,289
view_b189627e1375d433fe899275dffd499e.png,205,False,3,5,False,False,False,289
view_9099969ab4a16a477182d4d0a355d0bc.png,207,True,0,6,True,True,True,93
view_8f31eb7e5a23c5234243c915c5f14acf.png,247,True,0,4,True,True,False,6
view_48f72e7fb6e500559fd750d5456ef584.png,260,True,0,4,True,True,False,351
view_a4264a050fbc1523de3338d64580ba79.png,262,False,1,3,False,False,False,331
view_2fecd352e53d0f934542a5bfa095083a.png,273,False,2,3,False,False,False,531
view_6036d6a923e2fc4b26cb85b4324b61fd.png,278,False,1,4,False,False,False,415
view_a5af5ebb87c06b9e8f612da9c70128a0.png,279,True,0,5,True,True,True,529
view_4444f0930e2b4efa977efcdbf5337d20.png,316,False,4,7,False,False,False,107
view_a191fdabea2ce5f6881da31a011655f8.png,325,False,3,4,False,False,False,326
