控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,6,False,5,15,False,False,False,3
view_0702af1b9b25fd7f1de5a51d009bf36c.png,19,True,0,26,True,True,True,5
view_03873cb330123484b28437172d028393.png,19,False,6,26,False,False,False,5
view_83a89454cfb3eaad6b69218a01725efe.png,19,False,8,26,False,False,False,5
view_40d146529e883647970c8e6ad7828aee.png,22,False,17,45,False,False,False,1
view_040d498befe8a982688743bb8a15e2e4.png,22,False,30,45,False,False,False,1
view_1b7713bc6b808e56e533c6512cba249f.png,25,True,1,32,True,True,True,34
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,25,False,10,32,False,False,False,34
view_bed672cef70c91b21e0092a3bbffb37b.png,26,True,3,20,True,True,True,6
view_7cbf91c5b6613436461d57f32909d0e9.png,34,True,5,30,False,True,True,132
view_388d4340422c2e5da6110b736456d4b7.png,34,False,23,30,False,False,False,132
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,34,False,25,30,False,False,False,132
view_a5af5ebb87c06b9e8f612da9c70128a0.png,36,True,0,9,True,True,True,78
view_a3bd5f6a4b49068832ef89711954db0e.png,51,False,4,5,False,False,False,282
view_453a65384090d62e4aa9582ec6ec5b69.png,57,False,3,6,False,False,False,137
view_69d0f1bb75ac90746cb81b7943ad209e.png,68,True,0,6,True,True,True,141
view_b189627e1375d433fe899275dffd499e.png,68,True,1,6,True,False,True,141
view_52aab8a65f4106aa0022d30a17056599.png,70,False,1,4,False,False,False,117
view_c6ff152fa1f117da252ea351460521be.png,72,True,0,6,True,True,True,289
view_4d03888ec5acebf863fb8debe4535ffb.png,84,True,4,12,True,False,False,31
view_56c274f21b5a47c36d6491eeec801b77.png,102,True,0,3,True,True,False,25
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,105,False,1,5,False,False,False,104
view_036db19dd3ca2bfe15721c3150990f86.png,145,False,2,4,False,False,False,108
view_a25f6186706916f9d65f5bb47b4986f9.png,146,False,3,6,False,False,False,170
view_8f31eb7e5a23c5234243c915c5f14acf.png,163,False,3,5,False,False,False,64
view_a4264a050fbc1523de3338d64580ba79.png,168,False,4,9,False,False,False,110
view_6036d6a923e2fc4b26cb85b4324b61fd.png,178,False,1,4,False,False,False,71
view_e483dd3105d6f69d4ca07dd704591063.png,182,False,1,3,False,False,False,115
view_ba27a1df2a40cc2f63697dfc71f86c79.png,199,True,1,7,True,False,True,182
view_b888f5f094161ecc9f125735c6d13b0d.png,209,True,0,3,True,True,False,438
view_a191fdabea2ce5f6881da31a011655f8.png,211,True,0,5,True,True,True,265
