控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,7,False,8,16,False,False,False,11
view_0702af1b9b25fd7f1de5a51d009bf36c.png,22,True,0,26,True,True,True,18
view_03873cb330123484b28437172d028393.png,22,True,2,26,True,True,True,18
view_83a89454cfb3eaad6b69218a01725efe.png,22,False,20,26,False,False,False,18
view_040d498befe8a982688743bb8a15e2e4.png,25,False,11,38,False,False,False,101
view_40d146529e883647970c8e6ad7828aee.png,25,False,25,38,False,False,False,101
view_1b7713bc6b808e56e533c6512cba249f.png,31,True,2,32,True,True,True,259
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,31,True,8,32,False,False,True,259
view_bed672cef70c91b21e0092a3bbffb37b.png,34,True,1,14,True,True,True,29
view_a5af5ebb87c06b9e8f612da9c70128a0.png,47,True,0,10,True,True,True,266
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,51,True,2,19,True,True,True,46
view_a3bd5f6a4b49068832ef89711954db0e.png,69,True,0,5,True,True,True,392
view_453a65384090d62e4aa9582ec6ec5b69.png,76,False,3,6,False,False,False,34
view_95f67622e5147705d104f32148611b5b.png,81,False,1,5,False,False,False,354
view_ca8c093974517c20c9f70b9dd0064138.png,92,False,1,4,False,False,False,44
view_48f72e7fb6e500559fd750d5456ef584.png,92,False,3,4,False,False,False,44
view_e483dd3105d6f69d4ca07dd704591063.png,93,True,1,6,True,False,False,97
view_69d0f1bb75ac90746cb81b7943ad209e.png,96,True,0,6,True,True,True,218
view_b189627e1375d433fe899275dffd499e.png,96,True,1,6,True,False,False,218
view_a32f613e211adbcddeaabd1d5cd7e261.png,97,False,10,13,False,False,False,59
view_7cbf91c5b6613436461d57f32909d0e9.png,99,False,5,28,False,False,False,264
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,99,False,9,28,False,False,False,264
view_388d4340422c2e5da6110b736456d4b7.png,99,False,19,28,False,False,False,264
view_c545dfece6f46c4594b005bd68055924.png,100,True,0,4,True,True,False,219
view_52aab8a65f4106aa0022d30a17056599.png,103,True,0,5,True,True,True,79
view_4d03888ec5acebf863fb8debe4535ffb.png,128,False,9,15,False,False,False,169
view_56c274f21b5a47c36d6491eeec801b77.png,157,True,0,3,True,True,False,91
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,160,False,1,5,False,False,False,49
view_44a2a3cd455836de372ed9701f3e7581.png,171,True,1,6,True,False,False,287
view_9099969ab4a16a477182d4d0a355d0bc.png,191,True,0,3,True,True,False,55
view_c6ff152fa1f117da252ea351460521be.png,204,True,0,5,True,True,True,429
view_a4264a050fbc1523de3338d64580ba79.png,216,False,5,10,False,False,False,42
view_036db19dd3ca2bfe15721c3150990f86.png,221,False,1,5,False,False,False,74
view_a25f6186706916f9d65f5bb47b4986f9.png,222,True,0,6,True,True,True,294
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,230,False,2,4,False,False,False,66
view_cb998351b18907c11d8dbd43fff35ea5.png,232,True,0,4,True,True,False,58
view_8f31eb7e5a23c5234243c915c5f14acf.png,243,False,2,5,False,False,False,19
view_8133e2b06f41040bd19fd48348238298.png,248,False,1,4,False,False,False,202
view_2fecd352e53d0f934542a5bfa095083a.png,265,False,2,3,False,False,False,343
view_6036d6a923e2fc4b26cb85b4324b61fd.png,268,False,1,4,False,False,False,88
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,278,False,2,3,False,False,False,27
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,285,False,5,7,False,False,False,96
view_ba27a1df2a40cc2f63697dfc71f86c79.png,289,True,2,7,True,False,False,128
view_33a7a439057d102525c55da9fe1b0ace.png,308,False,3,6,False,False,False,376
view_a191fdabea2ce5f6881da31a011655f8.png,318,True,0,5,True,True,True,344
