控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,7,0.5862068965517241,8,16,11
view_0702af1b9b25fd7f1de5a51d009bf36c.png,22,0.13793103448275862,0,26,18
view_03873cb330123484b28437172d028393.png,22,0.41379310344827586,2,26,18
view_83a89454cfb3eaad6b69218a01725efe.png,22,0.6551724137931034,20,26,18
view_040d498befe8a982688743bb8a15e2e4.png,25,0.5517241379310345,11,38,101
view_40d146529e883647970c8e6ad7828aee.png,25,0.6551724137931034,25,38,101
view_1b7713bc6b808e56e533c6512cba249f.png,31,0.3793103448275862,2,32,259
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,31,0.4827586206896552,8,32,259
view_bed672cef70c91b21e0092a3bbffb37b.png,34,0.3448275862068966,1,14,29
view_a5af5ebb87c06b9e8f612da9c70128a0.png,47,0.3103448275862069,0,10,266
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,51,0.4827586206896552,2,19,46
view_a3bd5f6a4b49068832ef89711954db0e.png,69,0.4827586206896552,0,5,392
view_453a65384090d62e4aa9582ec6ec5b69.png,76,0.5517241379310345,3,6,34
view_95f67622e5147705d104f32148611b5b.png,81,0.5172413793103449,1,5,354
view_ca8c093974517c20c9f70b9dd0064138.png,92,0.6206896551724138,1,4,44
view_48f72e7fb6e500559fd750d5456ef584.png,92,0.7586206896551724,3,4,44
view_e483dd3105d6f69d4ca07dd704591063.png,93,0.5172413793103449,1,6,97
view_69d0f1bb75ac90746cb81b7943ad209e.png,96,0.4482758620689655,0,6,218
view_b189627e1375d433fe899275dffd499e.png,96,0.5172413793103449,1,6,218
view_a32f613e211adbcddeaabd1d5cd7e261.png,97,0.6206896551724138,10,13,59
view_7cbf91c5b6613436461d57f32909d0e9.png,99,0.5172413793103449,5,28,264
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,99,0.5862068965517241,9,28,264
view_388d4340422c2e5da6110b736456d4b7.png,99,0.6896551724137931,19,28,264
view_c545dfece6f46c4594b005bd68055924.png,100,0.5172413793103449,0,4,219
view_52aab8a65f4106aa0022d30a17056599.png,103,0.4827586206896552,0,5,79
view_4d03888ec5acebf863fb8debe4535ffb.png,128,0.5517241379310345,9,15,169
view_56c274f21b5a47c36d6491eeec801b77.png,157,0.7586206896551724,0,3,91
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,160,0.6206896551724138,1,5,49
view_44a2a3cd455836de372ed9701f3e7581.png,171,0.5172413793103449,1,6,287
view_9099969ab4a16a477182d4d0a355d0bc.png,191,0.7241379310344828,0,3,55
view_c6ff152fa1f117da252ea351460521be.png,204,0.41379310344827586,0,5,429
view_a4264a050fbc1523de3338d64580ba79.png,216,0.5517241379310345,5,10,42
view_036db19dd3ca2bfe15721c3150990f86.png,221,0.5862068965517241,1,5,74
view_a25f6186706916f9d65f5bb47b4986f9.png,222,0.4482758620689655,0,6,294
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,230,0.6551724137931034,2,4,66
view_cb998351b18907c11d8dbd43fff35ea5.png,232,0.6551724137931034,0,4,58
view_8f31eb7e5a23c5234243c915c5f14acf.png,243,0.5517241379310345,2,5,19
view_8133e2b06f41040bd19fd48348238298.png,248,0.6551724137931034,1,4,202
view_2fecd352e53d0f934542a5bfa095083a.png,265,0.896551724137931,2,3,343
view_6036d6a923e2fc4b26cb85b4324b61fd.png,268,0.6206896551724138,1,4,88
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,278,0.9310344827586207,2,3,27
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,285,0.6206896551724138,5,7,96
view_ba27a1df2a40cc2f63697dfc71f86c79.png,289,0.5172413793103449,2,7,128
view_33a7a439057d102525c55da9fe1b0ace.png,308,0.5862068965517241,3,6,376
view_a191fdabea2ce5f6881da31a011655f8.png,318,0.4827586206896552,0,5,344
