控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,7,0.5806451612903226,8,16,11
view_0702af1b9b25fd7f1de5a51d009bf36c.png,22,0.1935483870967742,0,26,18
view_03873cb330123484b28437172d028393.png,22,0.3870967741935484,1,26,18
view_83a89454cfb3eaad6b69218a01725efe.png,22,0.6129032258064516,15,26,18
view_40d146529e883647970c8e6ad7828aee.png,25,0.5483870967741935,10,38,101
view_040d498befe8a982688743bb8a15e2e4.png,25,0.6129032258064516,23,38,101
view_1b7713bc6b808e56e533c6512cba249f.png,31,0.2903225806451613,1,32,259
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,31,0.45161290322580644,4,32,259
view_bed672cef70c91b21e0092a3bbffb37b.png,34,0.3225806451612903,0,14,29
view_a5af5ebb87c06b9e8f612da9c70128a0.png,47,0.25806451612903225,0,10,266
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,51,0.5806451612903226,5,19,46
view_a3bd5f6a4b49068832ef89711954db0e.png,69,0.5161290322580645,0,5,392
view_453a65384090d62e4aa9582ec6ec5b69.png,76,0.5806451612903226,5,6,34
view_95f67622e5147705d104f32148611b5b.png,81,0.5483870967741935,1,5,354
view_48f72e7fb6e500559fd750d5456ef584.png,93,0.6774193548387096,2,4,44
view_ca8c093974517c20c9f70b9dd0064138.png,93,0.7096774193548387,3,4,44
view_e483dd3105d6f69d4ca07dd704591063.png,94,0.5483870967741935,4,6,97
view_69d0f1bb75ac90746cb81b7943ad209e.png,97,0.3548387096774194,0,6,218
view_b189627e1375d433fe899275dffd499e.png,97,0.5161290322580645,2,6,218
view_a32f613e211adbcddeaabd1d5cd7e261.png,98,0.6129032258064516,10,13,59
view_7cbf91c5b6613436461d57f32909d0e9.png,100,0.3548387096774194,2,28,264
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,100,0.6774193548387096,17,28,264
view_388d4340422c2e5da6110b736456d4b7.png,100,0.6774193548387096,20,28,264
view_c545dfece6f46c4594b005bd68055924.png,101,0.6129032258064516,1,4,219
view_52aab8a65f4106aa0022d30a17056599.png,104,0.5161290322580645,0,5,79
view_4d03888ec5acebf863fb8debe4535ffb.png,131,0.5483870967741935,7,15,169
view_56c274f21b5a47c36d6491eeec801b77.png,160,0.8064516129032258,0,3,91
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,163,0.5806451612903226,1,5,49
view_44a2a3cd455836de372ed9701f3e7581.png,174,0.6129032258064516,3,6,287
view_9099969ab4a16a477182d4d0a355d0bc.png,195,0.8387096774193549,2,3,55
view_c6ff152fa1f117da252ea351460521be.png,208,0.3870967741935484,0,5,429
view_a4264a050fbc1523de3338d64580ba79.png,220,0.6129032258064516,5,10,42
view_036db19dd3ca2bfe15721c3150990f86.png,225,0.6129032258064516,2,5,74
view_a25f6186706916f9d65f5bb47b4986f9.png,226,0.41935483870967744,0,6,294
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,234,0.6774193548387096,1,4,66
view_cb998351b18907c11d8dbd43fff35ea5.png,236,0.6129032258064516,0,4,58
view_8f31eb7e5a23c5234243c915c5f14acf.png,248,0.5483870967741935,1,5,19
view_8133e2b06f41040bd19fd48348238298.png,253,0.7419354838709677,3,4,202
view_2fecd352e53d0f934542a5bfa095083a.png,270,0.8709677419354839,2,3,343
view_6036d6a923e2fc4b26cb85b4324b61fd.png,273,0.5806451612903226,1,4,88
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,284,0.8387096774193549,1,3,27
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,291,0.5806451612903226,5,7,96
view_ba27a1df2a40cc2f63697dfc71f86c79.png,295,0.4838709677419355,0,7,128
view_33a7a439057d102525c55da9fe1b0ace.png,314,0.6451612903225806,5,6,376
view_b888f5f094161ecc9f125735c6d13b0d.png,315,0.7741935483870968,0,3,564
view_a191fdabea2ce5f6881da31a011655f8.png,325,0.5161290322580645,0,5,344
