控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,6,True,3,17,True,False,False,110
view_0702af1b9b25fd7f1de5a51d009bf36c.png,25,True,0,26,True,True,True,5
view_03873cb330123484b28437172d028393.png,25,True,3,26,True,True,True,5
view_83a89454cfb3eaad6b69218a01725efe.png,25,False,23,26,False,False,False,5
view_040d498befe8a982688743bb8a15e2e4.png,28,False,18,38,False,False,False,360
view_40d146529e883647970c8e6ad7828aee.png,28,False,20,38,False,False,False,360
view_1b7713bc6b808e56e533c6512cba249f.png,35,True,2,32,True,True,True,611
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,35,True,4,32,True,True,True,611
view_bed672cef70c91b21e0092a3bbffb37b.png,39,True,0,14,True,True,True,134
view_a5af5ebb87c06b9e8f612da9c70128a0.png,51,True,0,10,True,True,True,606
view_a3bd5f6a4b49068832ef89711954db0e.png,78,True,2,6,True,False,False,303
view_453a65384090d62e4aa9582ec6ec5b69.png,87,True,0,6,True,True,True,160
view_95f67622e5147705d104f32148611b5b.png,92,True,2,6,True,False,True,227
view_ca8c093974517c20c9f70b9dd0064138.png,106,True,0,5,True,True,False,66
view_48f72e7fb6e500559fd750d5456ef584.png,106,False,2,5,False,False,False,66
view_e483dd3105d6f69d4ca07dd704591063.png,107,False,4,6,False,False,False,53
view_69d0f1bb75ac90746cb81b7943ad209e.png,110,True,1,8,True,False,True,233
view_b189627e1375d433fe899275dffd499e.png,110,False,5,8,False,False,False,233
view_cb998351b18907c11d8dbd43fff35ea5.png,111,False,5,15,False,False,False,39
view_a32f613e211adbcddeaabd1d5cd7e261.png,111,False,12,15,False,False,False,39
view_7cbf91c5b6613436461d57f32909d0e9.png,113,True,6,28,False,False,True,605
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,113,False,15,28,False,False,False,605
view_388d4340422c2e5da6110b736456d4b7.png,113,False,21,28,False,False,False,605
view_c545dfece6f46c4594b005bd68055924.png,114,True,0,4,True,True,False,234
view_52aab8a65f4106aa0022d30a17056599.png,118,False,1,5,False,False,False,52
view_7d4f42222b3a2e60272f7dbe81828f8f.png,126,True,0,4,True,True,True,92
view_4d03888ec5acebf863fb8debe4535ffb.png,154,False,8,12,False,False,False,173
view_56c274f21b5a47c36d6491eeec801b77.png,180,True,0,4,True,True,False,192
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,185,False,1,5,False,False,False,75
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,193,False,2,3,False,False,False,65
view_9099969ab4a16a477182d4d0a355d0bc.png,220,True,0,3,True,True,False,43
view_8fea87349e5bc20d45bce60c7e81d7b8.png,225,False,1,3,False,False,False,287
view_7721915c5adce47fc5fb59f6d39733c0.png,245,False,5,8,False,False,False,41
view_036db19dd3ca2bfe15721c3150990f86.png,259,False,2,5,False,False,False,56
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,271,False,3,4,False,False,False,29
view_8f31eb7e5a23c5234243c915c5f14acf.png,280,False,3,7,False,False,False,6
view_a4264a050fbc1523de3338d64580ba79.png,297,False,4,9,False,False,False,96
view_2fecd352e53d0f934542a5bfa095083a.png,314,False,1,3,False,False,False,628
view_6036d6a923e2fc4b26cb85b4324b61fd.png,319,False,1,4,False,False,False,194
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,331,False,2,3,False,False,False,11
view_ba27a1df2a40cc2f63697dfc71f86c79.png,344,False,4,7,False,False,False,101
view_b888f5f094161ecc9f125735c6d13b0d.png,366,True,0,3,True,True,False,488
view_a191fdabea2ce5f6881da31a011655f8.png,375,True,0,5,True,True,False,206
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,380,False,1,3,False,False,False,189
