控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,5,False,5,15,False,False,False,17
view_0702af1b9b25fd7f1de5a51d009bf36c.png,16,True,0,26,True,True,True,86
view_03873cb330123484b28437172d028393.png,16,True,4,26,True,True,True,86
view_83a89454cfb3eaad6b69218a01725efe.png,16,False,14,26,False,False,False,86
view_40d146529e883647970c8e6ad7828aee.png,19,False,19,45,False,False,False,91
view_040d498befe8a982688743bb8a15e2e4.png,19,False,21,45,False,False,False,91
view_1b7713bc6b808e56e533c6512cba249f.png,22,True,2,32,True,True,True,114
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,22,False,12,32,False,False,False,114
view_bed672cef70c91b21e0092a3bbffb37b.png,23,True,0,20,True,True,True,130
view_a5af5ebb87c06b9e8f612da9c70128a0.png,29,True,0,9,True,True,True,229
view_453a65384090d62e4aa9582ec6ec5b69.png,40,True,0,6,True,True,True,444
view_69d0f1bb75ac90746cb81b7943ad209e.png,48,True,0,6,True,True,True,597
view_b189627e1375d433fe899275dffd499e.png,48,False,4,6,False,False,False,597
view_7cbf91c5b6613436461d57f32909d0e9.png,50,True,4,28,True,True,True,615
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,50,False,10,28,False,False,False,615
view_388d4340422c2e5da6110b736456d4b7.png,50,False,15,28,False,False,False,615
view_52aab8a65f4106aa0022d30a17056599.png,51,True,0,4,True,True,False,642
view_4d03888ec5acebf863fb8debe4535ffb.png,59,False,8,12,False,False,False,867
view_56c274f21b5a47c36d6491eeec801b77.png,73,True,0,3,True,True,False,1066
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,76,False,3,5,False,False,False,1106
view_036db19dd3ca2bfe15721c3150990f86.png,103,False,1,4,False,False,False,1728
view_8f31eb7e5a23c5234243c915c5f14acf.png,116,False,1,5,False,False,False,2027
view_a4264a050fbc1523de3338d64580ba79.png,119,False,4,9,False,False,False,2238
view_6036d6a923e2fc4b26cb85b4324b61fd.png,125,False,1,4,False,False,False,2460
view_e483dd3105d6f69d4ca07dd704591063.png,128,False,2,3,False,False,False,2483
view_ba27a1df2a40cc2f63697dfc71f86c79.png,140,False,3,7,False,False,False,2985
