控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,8,0.5483870967741935,3,13,12
view_0702af1b9b25fd7f1de5a51d009bf36c.png,23,0.1935483870967742,0,26,19
view_03873cb330123484b28437172d028393.png,23,0.41935483870967744,1,26,19
view_83a89454cfb3eaad6b69218a01725efe.png,23,0.6129032258064516,10,26,19
view_1b7713bc6b808e56e533c6512cba249f.png,31,0.41935483870967744,1,30,236
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,31,0.5806451612903226,9,30,236
view_bed672cef70c91b21e0092a3bbffb37b.png,34,0.3870967741935484,0,14,30
view_ac28492f1787a95585bf168676e5e07e.png,36,0.5483870967741935,1,5,55
view_56c274f21b5a47c36d6491eeec801b77.png,46,0.3225806451612903,0,13,143
view_a5af5ebb87c06b9e8f612da9c70128a0.png,48,0.45161290322580644,1,12,245
view_c545dfece6f46c4594b005bd68055924.png,52,0.3225806451612903,1,13,286
view_69d0f1bb75ac90746cb81b7943ad209e.png,52,0.5483870967741935,4,13,286
view_b189627e1375d433fe899275dffd499e.png,52,0.6129032258064516,8,13,286
view_a3bd5f6a4b49068832ef89711954db0e.png,67,0.6774193548387096,3,5,394
view_8133e2b06f41040bd19fd48348238298.png,70,0.45161290322580644,1,8,188
view_453a65384090d62e4aa9582ec6ec5b69.png,78,0.5161290322580645,1,6,37
view_95f67622e5147705d104f32148611b5b.png,84,0.6129032258064516,2,5,311
view_48f72e7fb6e500559fd750d5456ef584.png,85,0.6774193548387096,2,5,49
view_ca8c093974517c20c9f70b9dd0064138.png,85,0.6774193548387096,3,5,49
view_e483dd3105d6f69d4ca07dd704591063.png,98,0.5483870967741935,2,6,108
view_7cbf91c5b6613436461d57f32909d0e9.png,103,0.5161290322580645,5,28,243
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,103,0.7419354838709677,22,28,243
view_388d4340422c2e5da6110b736456d4b7.png,103,0.7419354838709677,25,28,243
view_52aab8a65f4106aa0022d30a17056599.png,107,0.7096774193548387,1,4,124
view_a4264a050fbc1523de3338d64580ba79.png,112,0.6129032258064516,7,12,47
view_4d03888ec5acebf863fb8debe4535ffb.png,135,0.6451612903225806,13,17,153
view_ba27a1df2a40cc2f63697dfc71f86c79.png,165,0.41935483870967744,0,10,117
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,166,0.6451612903225806,6,7,57
view_44a2a3cd455836de372ed9701f3e7581.png,171,0.6774193548387096,4,6,267
view_036db19dd3ca2bfe15721c3150990f86.png,223,0.5806451612903226,1,5,120
view_a25f6186706916f9d65f5bb47b4986f9.png,226,0.4838709677419355,0,6,297
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,236,0.7096774193548387,2,4,69
view_cb998351b18907c11d8dbd43fff35ea5.png,238,0.9032258064516129,1,3,56
view_8f31eb7e5a23c5234243c915c5f14acf.png,250,0.5806451612903226,1,5,20
view_2fecd352e53d0f934542a5bfa095083a.png,264,0.9032258064516129,1,3,331
view_6036d6a923e2fc4b26cb85b4324b61fd.png,267,0.5483870967741935,3,6,140
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,276,0.9032258064516129,1,3,28
view_a191fdabea2ce5f6881da31a011655f8.png,314,0.5483870967741935,0,5,332
view_7721915c5adce47fc5fb59f6d39733c0.png,320,0.9032258064516129,2,3,64
