控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_a4264a050fbc1523de3338d64580ba79.png,4,0.9347826086956522,19,22,62
view_ba27a1df2a40cc2f63697dfc71f86c79.png,6,0.6304347826086957,3,13,1234
view_0702af1b9b25fd7f1de5a51d009bf36c.png,12,0.5869565217391305,2,55,222
view_10c848e6af2d7371e7c8063e46ff610c.png,12,0.6086956521739131,4,55,222
view_83a89454cfb3eaad6b69218a01725efe.png,12,0.8260869565217391,34,55,222
view_03873cb330123484b28437172d028393.png,12,0.8260869565217391,35,55,222
view_52aab8a65f4106aa0022d30a17056599.png,22,0.8260869565217391,12,59,26
view_036db19dd3ca2bfe15721c3150990f86.png,22,0.8913043478260869,27,59,26
view_e483dd3105d6f69d4ca07dd704591063.png,22,0.9130434782608695,46,59,26
view_7cbf91c5b6613436461d57f32909d0e9.png,29,0.9130434782608695,24,38,200
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,29,0.9130434782608695,26,38,200
view_388d4340422c2e5da6110b736456d4b7.png,29,0.9130434782608695,29,38,200
view_bd781c541b489ee3e8c5e46f3e3bb4e5.png,41,0.8695652173913043,2,3,517
view_abbd77f276adb08b7f823e93930b5507.png,45,0.5869565217391305,0,3,2405
view_a32f613e211adbcddeaabd1d5cd7e261.png,46,0.9130434782608695,54,83,44
view_4d03888ec5acebf863fb8debe4535ffb.png,68,0.6956521739130435,11,15,1137
view_56c274f21b5a47c36d6491eeec801b77.png,69,0.5,1,7,2470
view_8f31eb7e5a23c5234243c915c5f14acf.png,75,0.6956521739130435,6,7,2240
view_e5781695fe273ec9a262860979d49e00.png,78,0.7608695652173914,13,17,125
view_ca8c093974517c20c9f70b9dd0064138.png,79,0.6521739130434783,5,7,392
view_48f72e7fb6e500559fd750d5456ef584.png,79,0.6521739130434783,6,7,392
view_a5af5ebb87c06b9e8f612da9c70128a0.png,82,0.7391304347826086,8,16,4518
view_b189627e1375d433fe899275dffd499e.png,85,0.5,1,10,124
view_69d0f1bb75ac90746cb81b7943ad209e.png,85,0.6086956521739131,4,10,124
view_c545dfece6f46c4594b005bd68055924.png,85,0.7608695652173914,6,10,124
view_1b7713bc6b808e56e533c6512cba249f.png,86,0.6739130434782609,0,56,212
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,86,0.9130434782608695,41,56,212
view_ac28492f1787a95585bf168676e5e07e.png,88,0.5,0,9,316
view_cb998351b18907c11d8dbd43fff35ea5.png,88,0.6521739130434783,3,9,316
view_9099969ab4a16a477182d4d0a355d0bc.png,91,0.6739130434782609,3,18,285
view_6036d6a923e2fc4b26cb85b4324b61fd.png,103,0.8695652173913043,14,19,228
view_a25f6186706916f9d65f5bb47b4986f9.png,149,0.3695652173913043,0,13,223
view_7721915c5adce47fc5fb59f6d39733c0.png,151,0.7391304347826086,6,8,453
view_453a65384090d62e4aa9582ec6ec5b69.png,152,0.717391304347826,4,6,2311
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,172,0.8695652173913043,2,3,512
view_2fecd352e53d0f934542a5bfa095083a.png,192,0.8695652173913043,1,3,564
