控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中
view_ba27a1df2a40cc2f63697dfc71f86c79.png,2,False,3,8,False,False,False
view_0702af1b9b25fd7f1de5a51d009bf36c.png,6,True,0,22,True,True,True
view_83a89454cfb3eaad6b69218a01725efe.png,6,False,8,22,False,False,False
view_bed672cef70c91b21e0092a3bbffb37b.png,17,True,0,10,True,True,True
view_52aab8a65f4106aa0022d30a17056599.png,34,False,5,11,False,False,False
view_4d03888ec5acebf863fb8debe4535ffb.png,35,False,4,7,False,False,False
view_b189627e1375d433fe899275dffd499e.png,47,False,1,3,False,False,False
view_a4264a050fbc1523de3338d64580ba79.png,53,False,5,6,False,False,False
view_a5af5ebb87c06b9e8f612da9c70128a0.png,55,True,0,5,True,True,True
view_9099969ab4a16a477182d4d0a355d0bc.png,63,True,2,9,True,False,True
view_8f31eb7e5a23c5234243c915c5f14acf.png,64,True,0,3,True,False,False
view_cb998351b18907c11d8dbd43fff35ea5.png,86,True,1,6,True,False,False
view_6699c5c7b85728194b0e746ce23b8fe9.png,94,False,2,3,False,False,False
view_453a65384090d62e4aa9582ec6ec5b69.png,96,True,0,6,True,True,True
view_6036d6a923e2fc4b26cb85b4324b61fd.png,106,False,1,4,False,False,False
