控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_ba27a1df2a40cc2f63697dfc71f86c79.png,1,True,1,2,True,True,True,2421
view_0702af1b9b25fd7f1de5a51d009bf36c.png,5,True,0,2,True,True,True,611
view_03873cb330123484b28437172d028393.png,5,True,1,2,True,True,True,611
view_56c274f21b5a47c36d6491eeec801b77.png,32,True,0,2,True,True,True,120
view_e483dd3105d6f69d4ca07dd704591063.png,33,True,0,2,True,True,True,576
view_c545dfece6f46c4594b005bd68055924.png,36,True,1,2,True,True,True,203
view_1b7713bc6b808e56e533c6512cba249f.png,37,True,1,2,True,True,True,614
view_cb998351b18907c11d8dbd43fff35ea5.png,38,True,1,2,True,False,False,1122
view_a5af5ebb87c06b9e8f612da9c70128a0.png,43,True,0,2,True,True,True,2120
view_453a65384090d62e4aa9582ec6ec5b69.png,58,True,0,2,True,True,True,2100
