控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_ba27a1df2a40cc2f63697dfc71f86c79.png,2,True,1,2,True,True,False,37
view_0702af1b9b25fd7f1de5a51d009bf36c.png,6,True,0,2,True,True,False,59
view_03873cb330123484b28437172d028393.png,6,True,1,2,True,True,False,59
view_6699c5c7b85728194b0e746ce23b8fe9.png,14,True,0,2,True,True,False,215
view_56c274f21b5a47c36d6491eeec801b77.png,28,True,0,2,True,True,False,428
view_c545dfece6f46c4594b005bd68055924.png,32,True,0,2,True,True,False,575
view_b189627e1375d433fe899275dffd499e.png,32,True,1,2,True,False,False,575
view_1b7713bc6b808e56e533c6512cba249f.png,33,True,1,2,True,True,False,592
view_cb998351b18907c11d8dbd43fff35ea5.png,34,True,1,2,True,False,False,611
view_a5af5ebb87c06b9e8f612da9c70128a0.png,39,True,0,2,True,True,False,698
view_453a65384090d62e4aa9582ec6ec5b69.png,52,True,1,2,True,False,False,1611
