控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,0,-,110,5512,-,-,-,-1
view_9b02136d8db23bec0831104e52963547.png,0,-,158,5512,-,-,-,-1
view_b3c63f7b19fadb8a112d6df4c7000462.png,0,-,183,5512,-,-,-,-1
view_95f67622e5147705d104f32148611b5b.png,0,-,455,5512,-,-,-,-1
view_67b206a2242cec6e445f84d58dc224bb.png,0,-,517,5512,-,-,-,-1
view_7d4f42222b3a2e60272f7dbe81828f8f.png,0,-,676,5512,-,-,-,-1
view_e5781695fe273ec9a262860979d49e00.png,0,-,905,5512,-,-,-,-1
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,0,-,1130,5512,-,-,-,-1
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,0,-,1832,5512,-,-,-,-1
view_cb998351b18907c11d8dbd43fff35ea5.png,0,-,1866,5512,-,-,-,-1
view_48f72e7fb6e500559fd750d5456ef584.png,0,-,2234,5512,-,-,-,-1
view_6699c5c7b85728194b0e746ce23b8fe9.png,0,-,2245,5512,-,-,-,-1
view_7a1b78888aaa46a10483e22621f71b9b.png,0,-,2255,5512,-,-,-,-1
view_1d711dd6bcbec68211b6f719147b5e64.png,0,-,2396,5512,-,-,-,-1
view_c545dfece6f46c4594b005bd68055924.png,0,-,2492,5512,-,-,-,-1
view_8fea87349e5bc20d45bce60c7e81d7b8.png,0,-,2637,5512,-,-,-,-1
view_9099969ab4a16a477182d4d0a355d0bc.png,0,-,2750,5512,-,-,-,-1
view_bb275cd494d93b8e04fdf46f1f22028a.png,0,-,3086,5512,-,-,-,-1
view_ca8c093974517c20c9f70b9dd0064138.png,0,-,3159,5512,-,-,-,-1
view_8133e2b06f41040bd19fd48348238298.png,0,-,3291,5512,-,-,-,-1
view_4444f0930e2b4efa977efcdbf5337d20.png,0,-,3537,5512,-,-,-,-1
view_043510f2c091b5462ccfe0eb6a091897.png,0,-,3556,5512,-,-,-,-1
view_33a7a439057d102525c55da9fe1b0ace.png,0,-,3639,5512,-,-,-,-1
view_b888f5f094161ecc9f125735c6d13b0d.png,0,-,3666,5512,-,-,-,-1
view_f39c8bde94745a484e6730198bd54bc7.png,0,-,3679,5512,-,-,-,-1
view_b856a7325a2f336fdf1c94e6fb3311b6.png,0,-,3748,5512,-,-,-,-1
view_2fd474f75f6b7ffdba1a88ec528ff943.png,0,-,3763,5512,-,-,-,-1
view_f8871ea2907e20bc5544bc565dfa262a.png,0,-,3930,5512,-,-,-,-1
view_c6ff152fa1f117da252ea351460521be.png,0,-,3958,5512,-,-,-,-1
view_bd781c541b489ee3e8c5e46f3e3bb4e5.png,0,-,3999,5512,-,-,-,-1
view_a191fdabea2ce5f6881da31a011655f8.png,0,-,4131,5512,-,-,-,-1
view_7721915c5adce47fc5fb59f6d39733c0.png,0,-,4416,5512,-,-,-,-1
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,0,-,4473,5512,-,-,-,-1
view_b4c4b445f9430b3128f4aa72894244a2.png,0,-,4481,5512,-,-,-,-1
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,0,-,4621,5512,-,-,-,-1
view_ac28492f1787a95585bf168676e5e07e.png,0,-,4807,5512,-,-,-,-1
view_a32f613e211adbcddeaabd1d5cd7e261.png,0,-,5017,5512,-,-,-,-1
view_17451cae68b18dc9049b8ed6ace00329.png,0,-,5024,5512,-,-,-,-1
view_a25f6186706916f9d65f5bb47b4986f9.png,0,-,5031,5512,-,-,-,-1
view_03e8fb460280409b3541bacb3d73770a.png,0,-,5252,5512,-,-,-,-1
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,0,-,5371,5512,-,-,-,-1
view_2fecd352e53d0f934542a5bfa095083a.png,0,-,5377,5512,-,-,-,-1
view_47862d2d0bb064be0cfa6e6198aad64d.png,0,-,5413,5512,-,-,-,-1
view_10c848e6af2d7371e7c8063e46ff610c.png,5,True,3,15,True,False,True,17
view_0702af1b9b25fd7f1de5a51d009bf36c.png,16,True,0,26,True,True,True,86
view_03873cb330123484b28437172d028393.png,16,True,1,26,True,True,True,86
view_83a89454cfb3eaad6b69218a01725efe.png,16,False,18,26,False,False,False,86
view_040d498befe8a982688743bb8a15e2e4.png,19,False,17,45,False,False,False,91
view_40d146529e883647970c8e6ad7828aee.png,19,False,28,45,False,False,False,91
view_1b7713bc6b808e56e533c6512cba249f.png,22,True,1,32,True,True,True,114
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,22,False,12,32,False,False,False,114
view_bed672cef70c91b21e0092a3bbffb37b.png,23,True,0,20,True,True,True,130
view_a5af5ebb87c06b9e8f612da9c70128a0.png,29,True,0,9,True,True,True,229
view_453a65384090d62e4aa9582ec6ec5b69.png,40,False,5,6,False,False,False,444
view_69d0f1bb75ac90746cb81b7943ad209e.png,48,True,0,6,True,True,True,597
view_b189627e1375d433fe899275dffd499e.png,48,True,1,6,True,False,False,597
view_7cbf91c5b6613436461d57f32909d0e9.png,50,False,9,28,False,False,False,615
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,50,False,15,28,False,False,False,615
