控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,5,-,66,3234,-,-,-,-1
view_67b206a2242cec6e445f84d58dc224bb.png,5,-,311,3234,-,-,-,-1
view_7d4f42222b3a2e60272f7dbe81828f8f.png,5,-,402,3234,-,-,-,-1
view_e5781695fe273ec9a262860979d49e00.png,5,-,540,3234,-,-,-,-1
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,5,-,688,3234,-,-,-,-1
view_6699c5c7b85728194b0e746ce23b8fe9.png,5,-,1312,3234,-,-,-,-1
view_7a1b78888aaa46a10483e22621f71b9b.png,5,-,1322,3234,-,-,-,-1
view_1d711dd6bcbec68211b6f719147b5e64.png,5,-,1405,3234,-,-,-,-1
view_8fea87349e5bc20d45bce60c7e81d7b8.png,5,-,1523,3234,-,-,-,-1
view_9099969ab4a16a477182d4d0a355d0bc.png,5,-,1591,3234,-,-,-,-1
view_bb275cd494d93b8e04fdf46f1f22028a.png,5,-,1780,3234,-,-,-,-1
view_b856a7325a2f336fdf1c94e6fb3311b6.png,5,-,2166,3234,-,-,-,-1
view_f8871ea2907e20bc5544bc565dfa262a.png,5,-,2289,3234,-,-,-,-1
view_c6ff152fa1f117da252ea351460521be.png,5,-,2300,3234,-,-,-,-1
view_bd781c541b489ee3e8c5e46f3e3bb4e5.png,5,-,2330,3234,-,-,-,-1
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,5,-,2582,3234,-,-,-,-1
view_b4c4b445f9430b3128f4aa72894244a2.png,5,-,2588,3234,-,-,-,-1
view_a32f613e211adbcddeaabd1d5cd7e261.png,5,-,2906,3234,-,-,-,-1
view_17451cae68b18dc9049b8ed6ace00329.png,5,-,2913,3234,-,-,-,-1
view_03e8fb460280409b3541bacb3d73770a.png,5,-,3072,3234,-,-,-,-1
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,5,-,3143,3234,-,-,-,-1
view_10c848e6af2d7371e7c8063e46ff610c.png,8,True,3,13,True,False,False,12
view_0702af1b9b25fd7f1de5a51d009bf36c.png,23,True,0,26,True,True,False,19
view_03873cb330123484b28437172d028393.png,23,False,5,26,False,False,False,19
view_83a89454cfb3eaad6b69218a01725efe.png,23,False,23,26,False,False,False,19
view_1b7713bc6b808e56e533c6512cba249f.png,31,True,1,30,True,True,False,236
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,31,True,5,30,False,True,False,236
view_bed672cef70c91b21e0092a3bbffb37b.png,34,True,1,14,True,True,False,30
view_ac28492f1787a95585bf168676e5e07e.png,36,False,4,5,False,False,False,55
view_56c274f21b5a47c36d6491eeec801b77.png,46,True,0,13,True,True,False,143
view_a5af5ebb87c06b9e8f612da9c70128a0.png,48,True,0,12,True,True,False,245
view_b189627e1375d433fe899275dffd499e.png,52,True,0,13,True,True,False,286
view_69d0f1bb75ac90746cb81b7943ad209e.png,52,True,2,13,True,False,False,286
view_c545dfece6f46c4594b005bd68055924.png,52,False,6,13,False,False,False,286
view_a3bd5f6a4b49068832ef89711954db0e.png,67,False,3,5,False,False,False,394
view_8133e2b06f41040bd19fd48348238298.png,70,False,5,8,False,False,False,188
view_453a65384090d62e4aa9582ec6ec5b69.png,78,True,0,6,True,True,False,37
view_95f67622e5147705d104f32148611b5b.png,84,False,3,5,False,False,False,311
view_48f72e7fb6e500559fd750d5456ef584.png,85,True,0,5,True,True,False,49
view_ca8c093974517c20c9f70b9dd0064138.png,85,False,4,5,False,False,False,49
view_e483dd3105d6f69d4ca07dd704591063.png,98,True,0,6,True,True,False,108
view_7cbf91c5b6613436461d57f32909d0e9.png,103,False,7,28,False,False,False,243
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,103,False,16,28,False,False,False,243
view_388d4340422c2e5da6110b736456d4b7.png,103,False,21,28,False,False,False,243
view_52aab8a65f4106aa0022d30a17056599.png,107,True,0,4,True,True,False,124
view_a4264a050fbc1523de3338d64580ba79.png,112,False,8,12,False,False,False,47
view_4d03888ec5acebf863fb8debe4535ffb.png,135,False,8,17,False,False,False,153
view_ba27a1df2a40cc2f63697dfc71f86c79.png,165,True,0,10,True,True,False,117
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,166,False,5,7,False,False,False,57
view_44a2a3cd455836de372ed9701f3e7581.png,171,True,2,6,True,False,False,267
view_036db19dd3ca2bfe15721c3150990f86.png,223,False,1,5,False,False,False,120
view_a25f6186706916f9d65f5bb47b4986f9.png,226,False,4,6,False,False,False,297
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,236,False,3,4,False,False,False,69
view_cb998351b18907c11d8dbd43fff35ea5.png,238,False,1,3,False,False,False,56
view_8f31eb7e5a23c5234243c915c5f14acf.png,250,False,2,5,False,False,False,20
view_2fecd352e53d0f934542a5bfa095083a.png,264,False,1,3,False,False,False,331
view_6036d6a923e2fc4b26cb85b4324b61fd.png,267,True,1,6,True,False,False,140
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,276,False,1,3,False,False,False,28
view_a191fdabea2ce5f6881da31a011655f8.png,314,False,4,5,False,False,False,332
view_7721915c5adce47fc5fb59f6d39733c0.png,320,False,1,3,False,False,False,64
