控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,4,-,82,4402,-,-,-,-1
view_b3c63f7b19fadb8a112d6df4c7000462.png,4,-,137,4402,-,-,-,-1
view_67b206a2242cec6e445f84d58dc224bb.png,4,-,403,4402,-,-,-,-1
view_7d4f42222b3a2e60272f7dbe81828f8f.png,4,-,540,4402,-,-,-,-1
view_e5781695fe273ec9a262860979d49e00.png,4,-,729,4402,-,-,-,-1
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,4,-,921,4402,-,-,-,-1
view_6699c5c7b85728194b0e746ce23b8fe9.png,4,-,1775,4402,-,-,-,-1
view_7a1b78888aaa46a10483e22621f71b9b.png,4,-,1784,4402,-,-,-,-1
view_1d711dd6bcbec68211b6f719147b5e64.png,4,-,1896,4402,-,-,-,-1
view_8fea87349e5bc20d45bce60c7e81d7b8.png,4,-,2081,4402,-,-,-,-1
view_bb275cd494d93b8e04fdf46f1f22028a.png,4,-,2445,4402,-,-,-,-1
view_8133e2b06f41040bd19fd48348238298.png,4,-,2616,4402,-,-,-,-1
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,4,-,2699,4402,-,-,-,-1
view_4444f0930e2b4efa977efcdbf5337d20.png,4,-,2818,4402,-,-,-,-1
view_043510f2c091b5462ccfe0eb6a091897.png,4,-,2830,4402,-,-,-,-1
view_f39c8bde94745a484e6730198bd54bc7.png,4,-,2918,4402,-,-,-,-1
view_b856a7325a2f336fdf1c94e6fb3311b6.png,4,-,2969,4402,-,-,-,-1
view_2fd474f75f6b7ffdba1a88ec528ff943.png,4,-,2982,4402,-,-,-,-1
view_f8871ea2907e20bc5544bc565dfa262a.png,4,-,3124,4402,-,-,-,-1
view_bd781c541b489ee3e8c5e46f3e3bb4e5.png,4,-,3178,4402,-,-,-,-1
view_7721915c5adce47fc5fb59f6d39733c0.png,4,-,3511,4402,-,-,-,-1
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,4,-,3558,4402,-,-,-,-1
view_b4c4b445f9430b3128f4aa72894244a2.png,4,-,3565,4402,-,-,-,-1
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,4,-,3668,4402,-,-,-,-1
view_ac28492f1787a95585bf168676e5e07e.png,4,-,3834,4402,-,-,-,-1
view_17451cae68b18dc9049b8ed6ace00329.png,4,-,3999,4402,-,-,-,-1
view_03e8fb460280409b3541bacb3d73770a.png,4,-,4193,4402,-,-,-,-1
view_10c848e6af2d7371e7c8063e46ff610c.png,6,True,4,13,True,False,False,13
view_0702af1b9b25fd7f1de5a51d009bf36c.png,20,True,0,26,True,True,True,33
view_03873cb330123484b28437172d028393.png,20,False,7,26,False,False,False,33
view_83a89454cfb3eaad6b69218a01725efe.png,20,False,16,26,False,False,False,33
view_040d498befe8a982688743bb8a15e2e4.png,23,False,12,42,False,False,False,2
view_40d146529e883647970c8e6ad7828aee.png,23,False,13,42,False,False,False,2
view_1b7713bc6b808e56e533c6512cba249f.png,29,True,1,30,True,True,True,81
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,29,False,6,30,False,False,False,81
view_bed672cef70c91b21e0092a3bbffb37b.png,31,True,1,14,True,True,True,35
view_a5af5ebb87c06b9e8f612da9c70128a0.png,42,True,0,13,True,True,True,124
view_56c274f21b5a47c36d6491eeec801b77.png,46,True,0,7,True,True,True,36
view_a3bd5f6a4b49068832ef89711954db0e.png,63,True,0,5,True,True,False,347
view_036db19dd3ca2bfe15721c3150990f86.png,69,True,2,6,True,False,False,160
view_453a65384090d62e4aa9582ec6ec5b69.png,70,True,0,6,True,True,True,93
view_ca8c093974517c20c9f70b9dd0064138.png,82,False,2,4,False,False,False,173
view_48f72e7fb6e500559fd750d5456ef584.png,82,False,3,4,False,False,False,173
view_e483dd3105d6f69d4ca07dd704591063.png,83,True,1,6,True,False,False,165
view_c545dfece6f46c4594b005bd68055924.png,85,True,0,13,True,True,True,232
view_b189627e1375d433fe899275dffd499e.png,85,True,4,13,True,False,False,232
view_69d0f1bb75ac90746cb81b7943ad209e.png,85,False,7,13,False,False,False,232
view_a32f613e211adbcddeaabd1d5cd7e261.png,86,False,7,9,False,False,False,158
view_7cbf91c5b6613436461d57f32909d0e9.png,88,True,5,29,False,False,True,101
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,88,False,13,29,False,False,False,101
view_388d4340422c2e5da6110b736456d4b7.png,88,False,25,29,False,False,False,101
view_52aab8a65f4106aa0022d30a17056599.png,90,True,0,4,True,True,False,163
view_4d03888ec5acebf863fb8debe4535ffb.png,110,True,4,12,True,False,False,69
view_9099969ab4a16a477182d4d0a355d0bc.png,150,False,2,3,False,False,False,156
view_c6ff152fa1f117da252ea351460521be.png,165,True,0,5,True,True,True,292
view_a4264a050fbc1523de3338d64580ba79.png,176,False,7,10,False,False,False,171
view_a25f6186706916f9d65f5bb47b4986f9.png,183,False,3,6,False,False,False,109
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,190,False,2,3,False,False,False,208
view_cb998351b18907c11d8dbd43fff35ea5.png,191,False,3,5,False,False,False,149
