控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_ba27a1df2a40cc2f63697dfc71f86c79.png,3,False,5,8,False,False,False,474
view_0702af1b9b25fd7f1de5a51d009bf36c.png,6,True,0,24,True,True,True,146
view_03873cb330123484b28437172d028393.png,6,True,1,24,True,True,True,146
view_83a89454cfb3eaad6b69218a01725efe.png,6,False,16,24,False,False,False,146
view_036db19dd3ca2bfe15721c3150990f86.png,9,False,1,3,False,False,False,92
view_7cbf91c5b6613436461d57f32909d0e9.png,14,True,4,13,True,False,False,4636
view_388d4340422c2e5da6110b736456d4b7.png,17,False,1,4,False,False,False,328
view_bed672cef70c91b21e0092a3bbffb37b.png,19,True,1,10,True,True,True,629
view_abbd77f276adb08b7f823e93930b5507.png,21,False,1,3,False,False,False,2322
view_52aab8a65f4106aa0022d30a17056599.png,40,False,6,12,False,False,False,141
view_4d03888ec5acebf863fb8debe4535ffb.png,41,False,5,7,False,False,False,603
view_e483dd3105d6f69d4ca07dd704591063.png,45,False,2,5,False,False,False,284
view_c545dfece6f46c4594b005bd68055924.png,52,True,0,7,True,True,True,472
view_b189627e1375d433fe899275dffd499e.png,52,True,1,7,True,False,False,472
view_69d0f1bb75ac90746cb81b7943ad209e.png,52,True,2,7,True,False,False,472
view_a4264a050fbc1523de3338d64580ba79.png,59,False,3,6,False,False,False,130
view_a5af5ebb87c06b9e8f612da9c70128a0.png,62,True,0,5,True,True,True,880
view_9099969ab4a16a477182d4d0a355d0bc.png,71,False,6,9,False,False,False,34
view_8f31eb7e5a23c5234243c915c5f14acf.png,72,True,0,5,True,True,False,323
view_56c274f21b5a47c36d6491eeec801b77.png,89,True,0,5,True,True,False,78
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,90,True,0,9,True,True,True,432
view_cb998351b18907c11d8dbd43fff35ea5.png,93,True,1,6,True,False,False,1299
view_6699c5c7b85728194b0e746ce23b8fe9.png,99,False,1,3,False,False,False,803
view_453a65384090d62e4aa9582ec6ec5b69.png,102,True,0,3,True,True,False,1211
view_6036d6a923e2fc4b26cb85b4324b61fd.png,111,False,1,4,False,False,False,1173
