控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,0,-,116,5723,-,-,-,-1
view_9b02136d8db23bec0831104e52963547.png,0,-,164,5723,-,-,-,-1
view_b3c63f7b19fadb8a112d6df4c7000462.png,0,-,193,5723,-,-,-,-1
view_95f67622e5147705d104f32148611b5b.png,0,-,481,5723,-,-,-,-1
view_67b206a2242cec6e445f84d58dc224bb.png,0,-,544,5723,-,-,-,-1
view_7d4f42222b3a2e60272f7dbe81828f8f.png,0,-,705,5723,-,-,-,-1
view_e5781695fe273ec9a262860979d49e00.png,0,-,942,5723,-,-,-,-1
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,0,-,1909,5723,-,-,-,-1
view_7a1b78888aaa46a10483e22621f71b9b.png,0,-,2341,5723,-,-,-,-1
view_b0267654008e1a53e50f8c0613a80098.png,0,-,2491,5723,-,-,-,-1
view_8fea87349e5bc20d45bce60c7e81d7b8.png,0,-,2737,5723,-,-,-,-1
view_bb275cd494d93b8e04fdf46f1f22028a.png,0,-,3183,5723,-,-,-,-1
view_ca8c093974517c20c9f70b9dd0064138.png,0,-,3258,5723,-,-,-,-1
view_8133e2b06f41040bd19fd48348238298.png,0,-,3394,5723,-,-,-,-1
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,0,-,3506,5723,-,-,-,-1
view_4444f0930e2b4efa977efcdbf5337d20.png,0,-,3652,5723,-,-,-,-1
view_043510f2c091b5462ccfe0eb6a091897.png,0,-,3671,5723,-,-,-,-1
view_33a7a439057d102525c55da9fe1b0ace.png,0,-,3761,5723,-,-,-,-1
view_b888f5f094161ecc9f125735c6d13b0d.png,0,-,3793,5723,-,-,-,-1
view_f39c8bde94745a484e6730198bd54bc7.png,0,-,3807,5723,-,-,-,-1
view_b856a7325a2f336fdf1c94e6fb3311b6.png,0,-,3875,5723,-,-,-,-1
view_2fd474f75f6b7ffdba1a88ec528ff943.png,0,-,3889,5723,-,-,-,-1
view_f8871ea2907e20bc5544bc565dfa262a.png,0,-,4066,5723,-,-,-,-1
view_c6ff152fa1f117da252ea351460521be.png,0,-,4095,5723,-,-,-,-1
view_bd781c541b489ee3e8c5e46f3e3bb4e5.png,0,-,4136,5723,-,-,-,-1
view_a191fdabea2ce5f6881da31a011655f8.png,0,-,4279,5723,-,-,-,-1
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,0,-,4639,5723,-,-,-,-1
view_b4c4b445f9430b3128f4aa72894244a2.png,0,-,4648,5723,-,-,-,-1
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,0,-,4786,5723,-,-,-,-1
view_a32f613e211adbcddeaabd1d5cd7e261.png,0,-,5201,5723,-,-,-,-1
view_17451cae68b18dc9049b8ed6ace00329.png,0,-,5208,5723,-,-,-,-1
view_a25f6186706916f9d65f5bb47b4986f9.png,0,-,5214,5723,-,-,-,-1
view_03e8fb460280409b3541bacb3d73770a.png,0,-,5446,5723,-,-,-,-1
view_2fecd352e53d0f934542a5bfa095083a.png,0,-,5583,5723,-,-,-,-1
view_47862d2d0bb064be0cfa6e6198aad64d.png,0,-,5622,5723,-,-,-,-1
view_10c848e6af2d7371e7c8063e46ff610c.png,5,False,6,17,False,False,False,17
view_036db19dd3ca2bfe15721c3150990f86.png,9,False,17,55,False,False,False,30
view_52aab8a65f4106aa0022d30a17056599.png,9,False,35,55,False,False,False,30
view_0702af1b9b25fd7f1de5a51d009bf36c.png,18,True,0,26,True,True,True,93
view_03873cb330123484b28437172d028393.png,18,False,8,26,False,False,False,93
