控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,5,0.5862068965517241,6,17,17
view_036db19dd3ca2bfe15721c3150990f86.png,9,0.6206896551724138,17,55,30
view_52aab8a65f4106aa0022d30a17056599.png,9,0.7931034482758621,35,55,30
view_0702af1b9b25fd7f1de5a51d009bf36c.png,18,0.10344827586206896,0,26,93
view_03873cb330123484b28437172d028393.png,18,0.5862068965517241,8,26,93
view_83a89454cfb3eaad6b69218a01725efe.png,18,0.6206896551724138,13,26,93
view_1b7713bc6b808e56e533c6512cba249f.png,22,0.3793103448275862,1,43,116
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,22,0.5862068965517241,9,43,116
view_bed672cef70c91b21e0092a3bbffb37b.png,24,0.3103448275862069,1,18,135
view_6699c5c7b85728194b0e746ce23b8fe9.png,24,0.4482758620689655,2,18,135
view_ac28492f1787a95585bf168676e5e07e.png,26,0.4482758620689655,2,10,137
view_cb998351b18907c11d8dbd43fff35ea5.png,26,0.4827586206896552,4,10,137
view_56c274f21b5a47c36d6491eeec801b77.png,31,0.4827586206896552,0,6,237
view_a5af5ebb87c06b9e8f612da9c70128a0.png,33,0.3448275862068966,0,17,242
view_9099969ab4a16a477182d4d0a355d0bc.png,41,0.5517241379310345,6,16,346
view_453a65384090d62e4aa9582ec6ec5b69.png,47,0.5862068965517241,4,6,470
view_48f72e7fb6e500559fd750d5456ef584.png,52,0.9655172413793104,1,3,497
view_e483dd3105d6f69d4ca07dd704591063.png,59,0.5862068965517241,3,6,614
view_c545dfece6f46c4594b005bd68055924.png,60,0.3448275862068966,0,9,626
view_69d0f1bb75ac90746cb81b7943ad209e.png,60,0.4827586206896552,1,9,626
view_b189627e1375d433fe899275dffd499e.png,60,0.5862068965517241,5,9,626
view_7cbf91c5b6613436461d57f32909d0e9.png,62,0.5517241379310345,7,31,648
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,62,0.7241379310344828,17,31,648
view_388d4340422c2e5da6110b736456d4b7.png,62,0.7931034482758621,28,31,648
view_a4264a050fbc1523de3338d64580ba79.png,65,0.6551724137931034,8,14,707
view_4d03888ec5acebf863fb8debe4535ffb.png,76,0.6551724137931034,11,13,909
view_ba27a1df2a40cc2f63697dfc71f86c79.png,90,0.4827586206896552,1,10,1148
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,91,0.9310344827586207,2,3,1204
view_7721915c5adce47fc5fb59f6d39733c0.png,101,0.7586206896551724,2,4,1392
view_8f31eb7e5a23c5234243c915c5f14acf.png,137,0.6206896551724138,2,5,2119
view_6036d6a923e2fc4b26cb85b4324b61fd.png,144,0.5517241379310345,1,5,2570
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,167,0.896551724137931,1,3,3660
